City,Country,Latitude,Longitude,Temperature (F),Cloudiness (%),Humidity (%),Wind Speed (MPH)
Zyryanka,RU,65.75,150.85,20.77,5,95,11.59
Sirawai,PH,7.59,122.14,80.6,0,67,1.52
Sanguéya,GN,10.7,-14.37,78.03,26,81,5.37
Keokuk,US,40.4,-91.38,56.64,75,87,5.82
Paamiut,GL,61.99,-49.67,35.24,100,86,2.39
Riyadh,SA,24.69,46.72,75.2,75,31,5.82
Camocim,BR,-2.9,-40.84,79.36,100,88,5.88
Saint-Leu,RE,-21.15,55.28,69.06,25,73,5.82
Heihe,CN,50.24,127.49,37.4,0,40,8.3
Imbituba,BR,-28.24,-48.67,69.8,40,64,9.17
Larsnes,NO,62.2,5.58,45.12,100,76,19.46
Beringovskiy,RU,63.05,179.32,11.26,98,94,10.49
Anadyr,RU,64.75,177.48,3.09,9,84,15.66
Vágur,FO,61.47,-6.81,44.78,100,88,30.27
Codrington,AU,-38.27,141.97,53.02,98,71,11.23
Qaryat Sulūq,LY,31.67,20.25,59.63,28,59,9.78
Skegness,GB,53.14,0.34,59.68,6,59,4.7
Huron,US,41.15,-82.55,53.98,75,37,12.75
Hong Kong,HK,22.29,114.16,65.44,20,72,16.11
Erenhot,CN,43.65,111.98,39.47,0,37,6.73
Lagoa,PT,39.05,-27.98,61.66,0,75,10.47
Liberal,US,37.04,-100.92,81.7,1,12,16.11
Taoudenni,ML,22.68,-3.98,89.58,0,11,4.83
Antsohihy,MG,-14.88,47.99,76.64,0,73,8.37
Mékhé,SN,15.11,-16.62,82.49,4,43,6.93
Gravelbourg,CA,49.88,-106.55,31.64,100,60,15.1
Puerto Quijarro,BO,-17.78,-57.77,84.81,0,52,3.2
Hasaki,JP,35.73,140.83,45.03,75,93,9.17
Mashhad,IR,36.3,59.61,61.05,94,52,12.35
Dzaoudzi,YT,-12.79,45.27,82.4,40,83,6.93
Linqiong,CN,30.42,103.46,60.8,4,77,2.13
La Ronge,CA,55.1,-105.28,19.4,90,52,17.22
Vardø,NO,70.37,31.11,27.61,61,89,4.99
Marawi,PH,8.0,124.29,66.16,17,74,2.48
Fallon,US,39.47,-118.78,70.03,40,26,10.29
San Patricio,MX,19.22,-104.7,86.0,40,74,23.04
Nadvoitsy,RU,63.87,34.32,25.43,20,94,4.76
Padang,ID,-0.95,100.35,78.58,98,76,5.01
Bam,IR,29.11,58.36,75.79,100,23,9.64
Punta Arenas,CL,-53.15,-70.92,48.09,65,61,14.99
Monte Gordo,PT,37.18,-7.45,63.34,83,88,5.82
Taltal,CL,-25.4,-70.48,68.65,25,65,6.93
